"compound_name_user","compound_name_comptox","ptx_code","purpose_analysis","formula","nomination_source","mw_g_mol","cas_neutral","dtxsid_comptox_neutral","inchikey_neutral","smiles_canonical_neutral","smiles_flag","solubility_dmso_mol_liter","source_solubility_dmso","solubility_dmso_10_mmol_liter","solubility_h2o_mol_liter","solubility_h2o_mg_liter","source_solubility_h2o","solubility_h2o_ph74_mol_liter_acd","solubility_h2o_ph74_mg_liter_acd","density_kg_L","source_density","henry_coefficient_atm_m3_mol","kaw_kh_rt","source_henry","stability","medium_air_partition","source_medium_air","storage_conditions","source_storage","moa","source_moa","mie","source_mie","ke_selected","ao","source_ke_ao","logd_ph74_acd","pka_acid","pka_base","neutral_form_ph74","negative_form_ph74","positive_form_ph74","zwitterionic_form_ph74","double_negative_form_ph74","double_positive_form_ph74","source_pka","log_kow_liter_liter_exp","source_kow_exp","log_kow_liter_liter_pred_cons","log_kow_liter_liter_pred_all","source_kow_pred","log_kow_liter_liter_used","source_kow_used","log_klipw_lserd_liter_liter","log_klipw_liter_liter","source_klipw","log_dlipw_ph74_liter_liter","source_dlipw","log_kbsaw_neutral_liter_liter","source_kbsaw","log_kspw_neutral_liter_liter","log_dspw_ph74_liter_liter","baseline_d_rerio_micromole_liter","baseline_d_magna_micromole_liter","baseline_cells_generic_micromole_liter_ec10","baseline_c_elegans_micromole_liter","baseline_x_laevis_micromole_liter","baseline_d_melanogaster_micromole_liter","baseline_max_micromole_liter","c_elegans_lec_size_micromole_liter","c_elegans_ac50_micromole_liter","source_c_elegans","zf_embryo_effect_micromole_liter","zf_endpoint","are_bla_mole_liter_IC10","are_bla_cytotox_mole_liter_ecir15","gr_bla_mole_liter_tox21","gr_bla_cytotox_mole_liter_tox21","cytotox_other_reports","cytotox_other_source","incompatibilities","analytical_method","analysis_limitation","analysis_details","analysis_simple","analysis_source","effect_concentration_expected_micromole_liter","purchased_as","cas_purchased","mw_purchased","amount_ordered_mg_5l","comments","comment_origin","reasons_exclude","solubility_tested_zf_medium_mmole_liter","solubility_tested_zf_medium_mg_liter","solubility_concentration_type","solubility_tested_cellculture_mmole_liter","solubility_test_method","stock_type","ph_adjust","reason_ph_adjust","method_ph_adjust","volume_ph_adjust_approx","buffer_requirement","stability_glass","stability_plastic","stability_method","source_stability","shsy5y_cytotox_ic10_mol_liter","neurite_outgrowth_inhibition_ec10_mol_liter","sr_cytotoxicity_neurite_outgrowth","log_ac10_neuro","log_ac50_neuro","tox21_assay_neurotoxicity_braun_2023","drugbank_name","drugbank_id","drugbank_mechanism_of_action","flag_physchem","type_vials_shipped","amount_shipped_g","form_shipped","source_are","concentration_dmso_stock_mmole_liter"
"N-[(2-methylpropoxy)methyl]acrylamide (NMPMA)","N-(Isobutoxymethyl)acrylamide","PTX011","Grouping excercise acrylamides","C8H15NO2",,"157.213","16669-59-3","DTXSID2044848","KCTMTGOHHMRJHZ-UHFFFAOYSA-N","CC(C)COCNC(=O)C=C",,,,"Soluble","0.139637","21952.75168","COMPTOX",,,"0.916","COMPTOX","8.42E-9","3.44E-7","COMPTOX (Opera)","?",,,"?",,,,,,,,,,"13.7","-1.48","0.999999498813018","5.01186982471147E-7",,,,,"ACD pKa/GALAS",,,,,,"0.698","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","1.32","LSERD, cited in Huchthausen 2023","1.31",,"0.11954","0.119539804103489","8188.417919005125","2739.050251286863","2752.294039395097","6036.705647858452","4351.510141366572","22841.25698294128","8188.417919005125",,,,,,,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"50484.82",,,,"64.2","10093.0746"," Baseline x1fold","No","Visual + UV Absorbance","Water","no","/","/","/","/",,,,,,,,,,,,,,,,,,,
"N,N'-diethylacrylamide (NDEA)","N,N-Diethylacrylamide","PTX012","Grouping excercise acrylamides","C7H13NO",,"127.187","2675-94-7","DTXSID10181258","OVHHHVAVHBHXAK-UHFFFAOYSA-N","CCN(CC)C(=O)C=C",,,,"Soluble","0.177419","22565.39035","COMPTOX",,,"0.881","COMPTOX","4.17E-8","1.7E-6","COMPTOX (Opera)","?",,,"2-8 °C",,,,,,,,,,,"-0.4","1",,,,,,"ACD pKa/GALAS",,,,,,"0.804","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.3","LSERD, cited in Huchthausen 2023","1.31",,"0.19692","0.19692","83752.9282126883","18793.168168032684","26933.424096405004","40457.589169744286","19934.254564980936","94362.62202767271","83752.9282126883",,,,,,,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"62544.42028",,,,"98.4","12515.2008"," Baseline x1fold","No","Visual + UV Absorbance","Water","no","/","/","/","/","0.86","1.03","LC-MS/MS",,,,,,,,,,,,,,,,
"Methacrylamide","Methacrylamide","PTX013","Grouping excercise acrylamides","C4H7NO",,"85.106","79-39-0","DTXSID8029600","FQPSGWSUVKBHSU-UHFFFAOYSA-N","CC(=C)C(N)=O",,,,"Soluble","0.55847","47529.14782","COMPTOX",,,"0.98","COMPTOX","2.19E-8","8.94E-7","COMPTOX (Opera)","thermally unstable",,,"RT",,,,,,,,,,"15.1","-0.4","0.999999980047377","1.99526226651869E-8",,,,,"ACD pKa/GALAS",,,,,,"-0.1895","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.29","LSERD, cited in Huchthausen 2023","1.31",,"-0.528335","-0.528335007798783","85684.05276916071","19151.376754674715","27620.52710254593","41219.24189830974","20233.91866907365","95684.14929182232","85684.05276916071",,,,">64","LC50 (Truong et al. 2014, ECHA ZF database",,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"691861.5307",,,,"1625.9","138373.8454"," Baseline x1fold","No","Visual + UV Absorbance","Water","no","/","/","/","/","0.98","1.042","LC-MS/MS","Nico",,,,,,,,,,,,,,,
"Imidazole","Imidazole","PTX014","Grouping exercise imidazoles","C3H4N2",,"68.079","288-32-4","DTXSID2029616","RAXXELZNTBOGNW-UHFFFAOYSA-N","N1C=CN=C1",,,,"Soluble","3.03389","206544.1973","COMPTOX",,,"1.105","COMPTOX","1.27E-6","5.17E-5","COMPTOX (Opera)","stable",,,"RT",,,,,,,,,,,"7.55","0.414501321328191",,"0.585498678671809",,,,"UFZ; Sirius T3","0.95",,,,,"0.95","Henneberger, in preparation, 2023","-0.36",,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.754408138586043","Kow-QSAR (?mw=1)","1.31",,"-1.32","-1.64509186141396","29725.96367835447","7968.660536621987","9108.274904662203","17335.22200052664","10119.138175800546","50157.68507259903","29725.96367835447",,,,,,,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"108396.7135",,,,"193.1","13146.0549"," Baseline x0.61fold","No","Visual + UV Absorbance","Water","yes","Alkaline pH","HCl 1 N","±200 µL for 15 mL solution","HEPES 10 mM","0.9557","1.476","LC-MS/MS","Nico",,,,,,,,,,,,,,,
"4-methyl imidazole","4-Methylimidazole","PTX015","Grouping exercise imidazoles","C4H6N2",,"82.106","822-36-6","DTXSID9025617","XLSZMDLNRCVEIJ-UHFFFAOYSA-N","CC1=CNC=N1",,,,"Soluble","0.749894","61570.79676","COMPTOX",,,"1.063","COMPTOX","6.41E-7","2.62E-5","COMPTOX (Opera)","moisture sensitive",,,"RT",,,,,,,,,,,"8.12","0.160049305365247",,"0.839950694634753",,,,"UFZ; Sirius T3","0.91",,,,,"0.91","Henneberger, in preparation, 2023",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.426568801711857","Kow-QSAR (?mw=1)","1.31",,"0.2743","-0.338231198288143","62762.01615115925","14798.359808894833","19680.172131978266","31950.61857106872","16503.7796486341","79132.05492543356","62762.01615115925",,,,,,,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"123466.668",,,,"149","12233.794"," Baseline x0.5fold","No","Visual + UV Absorbance","Water","yes","Alkaline pH","HCl 1 N","±300 µL for 15 mL solution","HEPES 10 mM","1.044","1.2109","LC-MS/MS","Nico",,,,,,,,,,,,,,,
"2-methyl imidazole","2-Methylimidazole","PTX016","Grouping exercise imidazoles","C4H6N2",,"82.106","693-98-1","DTXSID4022107","LXBGSDVWAMZHDD-UHFFFAOYSA-N","CC1=NC=CN1",,,,"Soluble","0.887156","72840.83054","COMPTOX",,,"1.074","COMPTOX","6.4E-7","2.62E-5","COMPTOX (Opera)","moisture sensitive",,,"RT",,,,,,,,,,,"8.02","0.193472477182892",,"0.806527522817107",,,,"UFZ; Sirius T3","0.3",,,,,"0.3","Henneberger, in preparation, 2023",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-0.139050991775271","Kow-QSAR (?mw=1)","1.31",,"-0.171","-0.733050991775272","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"107496.9993",,,,"227.5","18679.115"," Baseline x0.87fold","No","Visual + UV Absorbance","Water","yes","Alkaline pH","HCl 1 N","±400 µL for 15 mL solution","HEPES 10 mM","1.063","1.132","LC-MS/MS","Nico",,,,,,,,,,,,,,,
"1-Methylimidazole","1-Methylimidazole","PTX017","Grouping exercise imidazoles","C4H6N2",,"82.106","616-47-7","DTXSID6052291","MCTWTZJPVLRJOU-UHFFFAOYSA-N","CN1C=CN=C1",,,,"Soluble","2.95121","242312.0483","COMPTOX",,,"1.055","COMPTOX","7.98E-6","3.26E-4","COMPTOX (Opera)","moisture sensitive",,,"RT",,,,,,,,,,,"7.63","0.370611452782498",,"0.629388547217502",,,,"UFZ; Sirius T3","0.84",,,,,"0.84","Henneberger, in preparation, 2023",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.605439498591583","Kow-QSAR (?mw=1)","1.31",,"0.2232","-0.139760501408417","41746.0026549608","10556.97786966535","12831.240689355862","22887.27069273437","12637.908448154438","61704.17397508892","41746.0026549608",,,,,,,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"135702.6172",,,,"44","3612.664"," Baseline x0.13fold","No","Visual + UV Absorbance","Water","yes","Alkaline pH","HCl 1 N","±150 µL for 15 mL solution","HEPES 10 mM","1.101","1.337","LC-MS/MS","Nico",,,,,,,,,,,,,,,
"1,2-dimethylimidazole","1H-Imidazole, 1,2-dimethyl-","PTX018","Grouping exercise imidazoles","C5H8N2",,"96.133","1739-84-0","DTXSID2061939","GIWQSPITLQVMSG-UHFFFAOYSA-N","CN1C=CN=C1C",,,,"Soluble","2.47172","237613.8588","COMPTOX",,,"1.01","COMPTOX","6.64E-6","2.72E-4","COMPTOX (Opera)","moisture sensitive",,,"RT",,,,,,,,,,,"8.99","0.0250598212393821",,"0.974940178760618",,,,"UFZ; Sirius T3","1.76",,,,,"1.76","Henneberger, in preparation, 2023","-0.32",,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.985926920488443","Kow-QSAR (?mw=1)","1.31",,"-1.34","-2.25167307951156","17536.07316178159","5146.831202598998","5473.538953171839","11256.391625669847","7163.402522676289","36349.64217443726","17536.07316178159",,,,,,,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"43936.26515",,,,"49.9","4797.0367"," Baseline x0.55fold","No","Visual + UV Absorbance","Water","yes","Alkaline pH","HCl 1 N","±400 µL for 15 mL solution","HEPES 10 mM","1.139","1.253","LC-MS/MS","Nico",,,,,,,,,,,,,,,
"2-ethyl-4-methyl imidazole","2-Ethyl-4-methyl-1H-imidazole","PTX019","Grouping exercise imidazoles","C6H10N2",,"110.16","931-36-2","DTXSID9044744","ULKLGIFJWFIQFF-UHFFFAOYSA-N","CCC1=NC(C)=CN1",,,,"Soluble","0.0187932","2070.258912","COMPTOX",,,"1.007","COMPTOX","7.65E-7","3.13E-5","COMPTOX (Opera)","stable",,,"RT",,,,,,,,,,,"9.04","0.0223956224571705",,"0.977604377542829",,,,"UFZ; Sirius T3","1.7",,,,,"1.7","Henneberger, in preparation, 2023",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.916745679842544","Kow-QSAR (?mw=1)","1.31",,"0.851","-0.0692543201574562","20531.55188662557","5865.007104503791","6354.702024987439","12806.663526783019","7942.345940326261","40020.78558872088","20531.55188662557",,,,,,,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"118823.2836",,,,"159.5","17570.52"," Baseline x0.74fold","No","Visual + UV Absorbance","Water","yes","Alkaline pH","HCl 1 N","±200 µL for 15 mL solution","HEPES 10 mM","0.924","1.006","LC-MS/MS","Nico",,,,,,,,,,,,,,,
"1H-imidazole-1-propylamine","1H-Imidazole-1-propanamine","PTX020","Grouping exercise imidazoles","C6H11N3",,"125.175","5036-48-6","DTXSID7063685","KDHWOCLBMVSZPG-UHFFFAOYSA-N","NCCCN1C=CN=C1",,,,"Soluble","4.52898","566915.0715","COMPTOX",,,"1.071","COMPTOX","4.92E-7","2.01E-5","COMPTOX (Opera)","moisture sensitive, light sensitive",,,"dark, inert cond., RT",,,,,,,,,,,"6.49;9.55","0.00626441744909846",,"0.884872484204148",,,"0.108863098346753","UFZ; Sirius T3",,,,,,"-0.1385","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-1"," @ -1 at logKow < -1 (Gobas 1988)","1.31",,"-0.491105","-1.46728492958669","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,,,,,,,,"?","?","?","?","Nico Grasse (UFZ)",,,,,"465073.5971",,,,"162","20278.35"," Baseline x0.22fold","No","Visual + UV Absorbance","Water","yes","Alkaline pH","HCl 1 N","±200 µL for 15 mL solution","HEPES 10 mM","1.279","2","LC-MS/MS","Nico",,,,,,,,,,,,,,,
"propofol","Propofol","PTX021","Set of first 50 chemicals","C12H18O",,"178.2736","2078-54-8","DTXSID6023523","OLBCVFGFOZPWHH-UHFFFAOYSA-N","CC(C)c1cccc(c1O)C(C)C",,,,"Soluble","0.00103992","185.3902821","COMPTOX",,,"0.981","COMPTOX","1.59E-6","6.49E-5","COMPTOX (Opera)",,,,,,,,"GABA agonists",,"potentiates GABAA receptor activity,  GABAA receptor positive allosteric modulator","anesthetic effect, delayed emergence, cardiovascular collapse with prolonged exposure",,,"10.78",,"0.999583304324199","4.16695675800827E-4",,,,,"UFZ; Sirius T3","3.79",,,,,"3.79","experimental Hansch,C et al. (1995)","3.81",,"  (LSERD eq.1)","3.80983709768241","LSERD, eq. 1  (?mw=1)","3.36",,"2.76","2.75983709768241","28.071219058135892","24.88476706698899","66.43960160659678","58.080714570686524","105.98040155451402","715.9099410050134","105.98040155451402",,,,,,,,,,,,,"LC-MS/MS","?","triple quadrupole MS","yes","Vaiano et al., 2015",,,,,"118.1488667",,,,"0.27","48.133872"," Baseline x2.04fold","No","Visual + UV Absorbance","DMSO","no","/","/","/","/","0.99","1.01","LC-MS/MS",,,,,,,,,,,,,,,,"270"
